timestep	evaders	pursuers	evader_capture_status
0	[[9, 15], [24, 2], [13, 9], [4, 36], [22, 22], [27, 17], [9, 26], [11, 21], [20, 5], [9, 31], [34, 25], [21, 36], [29, 12], [33, 31], [1, 19], [38, 9], [32, 14], [28, 2], [30, 34], [18, 18], [0, 1], [28, 26], [34, 11], [24, 33], [18, 26], [11, 6], [8, 22], [24, 23], [6, 24], [19, 31]]	[[27, 20], [0, 4], [14, 7], [0, 15], [21, 5], [28, 11], [26, 16], [30, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[9, 14], [24, 3], [13, 10], [4, 35], [21, 22], [28, 17], [9, 27], [12, 21], [19, 5], [8, 31], [35, 25], [21, 35], [30, 12], [32, 31], [2, 19], [37, 9], [32, 15], [28, 3], [30, 33], [17, 18], [0, 2], [28, 27], [33, 11], [23, 33], [18, 27], [10, 6], [7, 22], [25, 23], [6, 23], [18, 31]]	[[26, 20], [0, 5], [14, 8], [0, 16], [20, 5], [29, 11], [27, 16], [30, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[10, 14], [23, 3], [12, 10], [4, 34], [20, 22], [29, 17], [8, 27], [13, 21], [18, 5], [7, 31], [34, 25], [21, 34], [30, 13], [33, 31], [3, 19], [36, 9], [33, 15], [28, 4], [29, 33], [16, 18], [1, 2], [28, 28], [34, 11], [24, 33], [19, 27], [9, 6], [8, 22], [24, 23], [5, 23], [19, 31]]	[[26, 19], [0, 6], [14, 9], [0, 17], [19, 5], [30, 11], [28, 16], [30, 25]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[10, 15], [22, 3], [11, 10], [4, 33], [19, 22], [30, 17], [8, 26], [12, 21], [17, 5], [6, 31], [35, 25], [21, 35], [31, 13], [32, 31], [4, 19], [36, 8], [34, 15], [28, 5], [28, 33], [15, 18], [1, 3], [28, 29], [34, 12], [24, 32], [19, 28], [8, 6], [9, 22], [23, 23], [4, 23], [20, 31]]	[[26, 20], [0, 7], [13, 9], [0, 18], [18, 5], [30, 12], [29, 16], [30, 26]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[10, 14], [22, 4], [10, 10], [5, 33], [18, 22], [31, 17], [8, 25], [12, 20], [16, 5], [6, 30], [34, 25], [21, 34], [32, 13], [32, 32], [5, 19], [35, 8], [35, 15], [27, 5], [29, 33], [14, 18], [2, 3], [28, 30], [35, 12], [24, 31], [20, 28], [9, 6], [8, 22], [23, 24], [5, 23], [19, 31]]	[[26, 21], [0, 8], [12, 9], [0, 19], [17, 5], [31, 12], [30, 16], [30, 27]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[10, 15], [22, 5], [9, 10], [4, 33], [19, 22], [32, 17], [9, 25], [12, 21], [15, 5], [6, 29], [35, 25], [20, 34], [33, 13], [33, 32], [5, 18], [34, 8], [35, 16], [26, 5], [28, 33], [15, 18], [3, 3], [27, 30], [36, 12], [23, 31], [21, 28], [8, 6], [8, 21], [22, 24], [5, 24], [19, 32]]	[[26, 22], [0, 9], [11, 9], [0, 20], [16, 5], [32, 12], [31, 16], [30, 28]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[9, 15], [21, 5], [9, 11], [4, 32], [18, 22], [32, 18], [10, 25], [11, 21], [14, 5], [7, 29], [34, 25], [20, 35], [34, 13], [33, 33], [6, 18], [34, 7], [35, 17], [27, 5], [28, 34], [14, 18], [2, 3], [26, 30], [36, 11], [22, 31], [21, 27], [7, 6], [7, 21], [22, 25], [5, 25], [18, 32]]	[[25, 22], [0, 10], [10, 9], [0, 21], [15, 5], [32, 13], [32, 16], [30, 29]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[10, 15], [21, 4], [8, 11], [4, 31], [19, 22], [31, 18], [9, 25], [11, 20], [13, 5], [7, 30], [35, 25], [20, 34], [35, 13], [34, 33], [6, 17], [33, 7], [35, 18], [26, 5], [28, 35], [13, 18], [1, 3], [25, 30], [36, 10], [21, 31], [20, 27], [6, 6], [8, 21], [21, 25], [5, 26], [17, 32]]	[[25, 23], [0, 11], [10, 10], [0, 22], [14, 5], [33, 13], [32, 17], [30, 30]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[10, 16], [20, 4], [7, 11], [4, 30], [19, 23], [30, 18], [8, 25], [10, 20], [12, 5], [7, 29], [34, 25], [20, 35], [35, 14], [35, 33], [5, 17], [32, 7], [35, 19], [27, 5], [28, 34], [14, 18], [1, 4], [24, 30], [36, 9], [20, 31], [19, 27], [5, 6], [7, 21], [22, 25], [5, 27], [16, 32]]	[[24, 23], [0, 12], [9, 10], [0, 23], [13, 5], [34, 13], [32, 18], [29, 30]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	[[9, 16], [20, 5], [7, 12], [4, 31], [18, 23], [29, 18], [8, 24], [9, 20], [11, 5], [8, 29], [33, 25], [20, 34], [35, 15], [34, 33], [6, 17], [33, 7], [35, 20], [28, 5], [27, 34], [14, 19], [1, 5], [23, 30], [36, 8], [19, 31], [18, 27], [5, 5], [6, 21], [22, 26], [6, 27], [17, 32]]	[[23, 23], [0, 13], [8, 10], [0, 24], [12, 5], [34, 14], [33, 18], [29, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10	[[8, 16], [19, 5], [6, 12], [5, 31], [17, 23], [28, 18], [9, 24], [10, 20], [10, 5], [8, 30], [34, 25], [20, 35], [36, 15], [35, 33], [6, 16], [32, 7], [35, 21], [29, 5], [27, 35], [13, 19], [2, 5], [22, 30], [36, 7], [19, 30], [17, 27], [5, 4], [6, 22], [21, 26], [5, 27], [16, 32]]	[[23, 24], [0, 14], [8, 11], [0, 25], [11, 5], [35, 14], [34, 18], [29, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[8, 17], [18, 5], [5, 12], [5, 32], [18, 23], [27, 18], [10, 24], [10, 21], [9, 5], [9, 30], [33, 25], [20, 34], [37, 15], [34, 33], [6, 17], [33, 7], [34, 21], [28, 5], [26, 35], [14, 19], [3, 5], [22, 31], [36, 6], [20, 30], [17, 28], [5, 5], [5, 22], [20, 26], [6, 27], [17, 32]]	[[22, 24], [0, 15], [7, 11], [0, 26], [10, 5], [36, 14], [35, 18], [29, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[8, 18], [19, 5], [4, 12], [4, 32], [17, 23], [28, 18], [11, 24], [9, 21], [8, 5], [9, 31], [32, 25], [20, 35], [37, 16], [35, 33], [5, 17], [32, 7], [33, 21], [29, 5], [25, 35], [15, 19], [3, 6], [21, 31], [36, 5], [20, 29], [16, 28], [5, 6], [6, 22], [20, 27], [5, 27], [18, 32]]	[[21, 24], [0, 16], [6, 11], [0, 27], [9, 5], [37, 14], [35, 19], [30, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
