timestep	evaders	pursuers	evader_capture_status
0	[[9, 15], [24, 2], [13, 9], [4, 36], [22, 22], [27, 17], [9, 26], [11, 21], [20, 5], [9, 31], [34, 25], [21, 36], [29, 12], [33, 31], [1, 19], [38, 9], [32, 14], [28, 2], [30, 34], [18, 18], [0, 1], [28, 26], [34, 11], [24, 33], [18, 26], [11, 6], [8, 22], [24, 23], [6, 24], [19, 31]]	[[27, 20], [0, 4], [14, 7], [0, 15], [21, 5], [28, 11], [26, 16], [30, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[9, 14], [24, 3], [13, 10], [5, 36], [21, 22], [28, 17], [10, 26], [11, 22], [19, 5], [10, 31], [35, 25], [21, 35], [30, 12], [34, 31], [2, 19], [37, 9], [33, 14], [28, 3], [30, 35], [17, 18], [1, 1], [27, 26], [35, 11], [23, 33], [19, 26], [10, 6], [8, 23], [25, 23], [6, 25], [20, 31]]	[[26, 20], [0, 5], [14, 8], [0, 16], [20, 5], [29, 11], [27, 16], [30, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[10, 14], [24, 4], [12, 10], [5, 35], [20, 22], [29, 17], [10, 27], [11, 23], [18, 5], [10, 32], [35, 24], [21, 34], [31, 12], [34, 32], [3, 19], [36, 9], [33, 13], [29, 3], [30, 34], [16, 18], [2, 1], [27, 27], [34, 11], [24, 33], [19, 27], [11, 6], [9, 23], [24, 23], [5, 25], [20, 32]]	[[26, 19], [0, 6], [14, 9], [0, 17], [19, 5], [30, 11], [28, 16], [31, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[10, 15], [24, 5], [11, 10], [5, 34], [19, 22], [30, 17], [11, 27], [12, 23], [17, 5], [9, 32], [34, 24], [21, 35], [32, 12], [34, 32], [4, 19], [36, 8], [34, 13], [30, 3], [30, 35], [16, 19], [3, 1], [27, 28], [35, 11], [25, 33], [19, 28], [10, 6], [8, 23], [24, 24], [6, 25], [19, 32]]	[[26, 20], [0, 7], [13, 9], [0, 18], [18, 5], [31, 11], [29, 16], [32, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[10, 16], [25, 5], [10, 10], [4, 34], [20, 22], [31, 17], [11, 28], [13, 23], [16, 5], [10, 32], [35, 24], [21, 34], [33, 12], [34, 31], [5, 19], [36, 7], [35, 13], [31, 3], [30, 34], [16, 18], [4, 1], [26, 28], [35, 10], [26, 33], [20, 28], [9, 6], [8, 24], [24, 25], [6, 26], [20, 32]]	[[26, 21], [0, 8], [12, 9], [0, 19], [17, 5], [32, 11], [30, 16], [33, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[9, 16], [25, 6], [9, 10], [5, 34], [19, 22], [32, 17], [11, 29], [14, 23], [15, 5], [9, 32], [36, 24], [21, 35], [34, 12], [34, 32], [6, 19], [36, 6], [35, 12], [31, 4], [29, 34], [16, 19], [4, 2], [26, 29], [36, 10], [26, 32], [21, 28], [8, 6], [9, 24], [24, 26], [6, 27], [20, 31]]	[[26, 22], [0, 9], [11, 9], [0, 20], [16, 5], [33, 11], [31, 16], [34, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[9, 15], [24, 6], [8, 10], [5, 33], [19, 23], [33, 17], [11, 30], [14, 24], [14, 5], [10, 32], [36, 23], [21, 34], [34, 13], [33, 32], [6, 20], [36, 5], [36, 12], [31, 5], [30, 34], [16, 18], [4, 3], [27, 29], [36, 9], [25, 32], [21, 27], [7, 6], [10, 24], [24, 27], [7, 27], [20, 32]]	[[26, 23], [0, 10], [10, 9], [0, 21], [15, 5], [34, 11], [32, 16], [35, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[9, 16], [24, 5], [7, 10], [4, 33], [20, 23], [34, 17], [11, 29], [15, 24], [13, 5], [10, 33], [36, 22], [21, 35], [33, 13], [33, 33], [5, 20], [35, 5], [36, 11], [30, 5], [30, 33], [16, 19], [5, 3], [28, 29], [36, 8], [26, 32], [20, 27], [6, 6], [9, 24], [23, 27], [7, 28], [19, 32]]	[[26, 24], [0, 11], [9, 9], [0, 22], [14, 5], [35, 11], [33, 16], [36, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[8, 16], [23, 5], [6, 10], [5, 33], [21, 23], [35, 17], [10, 29], [15, 25], [12, 5], [11, 33], [36, 21], [21, 34], [34, 13], [32, 33], [5, 21], [34, 5], [36, 10], [29, 5], [29, 33], [15, 19], [6, 3], [29, 29], [36, 7], [26, 31], [20, 28], [6, 7], [9, 25], [24, 27], [6, 28], [19, 33]]	[[26, 25], [0, 12], [8, 9], [0, 23], [13, 5], [36, 11], [34, 16], [36, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	[[7, 16], [22, 5], [5, 10], [5, 34], [20, 23], [36, 17], [11, 29], [14, 25], [11, 5], [11, 32], [36, 20], [22, 34], [34, 12], [31, 33], [6, 21], [34, 6], [36, 9], [28, 5], [30, 33], [14, 19], [7, 3], [29, 30], [36, 6], [26, 32], [20, 29], [6, 6], [9, 26], [25, 27], [6, 29], [19, 34]]	[[26, 26], [0, 13], [7, 9], [0, 24], [12, 5], [36, 10], [34, 17], [36, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
