timestep	evaders	pursuers	evader_capture_status
0	[[9, 15], [24, 2], [13, 9], [4, 36], [22, 22], [27, 17], [9, 26], [11, 21], [20, 5], [9, 31], [34, 25], [21, 36], [29, 12], [33, 31], [1, 19], [38, 9], [32, 14], [28, 2], [30, 34], [18, 18], [0, 1], [28, 26], [34, 11], [24, 33], [18, 26], [11, 6], [8, 22], [24, 23], [6, 24], [19, 31]]	[[27, 20], [0, 4], [14, 7], [0, 15], [21, 5], [28, 11], [26, 16], [30, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[9, 14], [24, 3], [13, 10], [5, 36], [21, 22], [28, 17], [9, 27], [12, 21], [19, 5], [10, 31], [34, 26], [21, 35], [30, 12], [34, 31], [2, 19], [37, 9], [32, 15], [28, 3], [30, 35], [17, 18], [1, 1], [28, 27], [34, 10], [23, 33], [17, 26], [10, 6], [7, 22], [24, 24], [5, 24], [19, 32]]	[[26, 20], [0, 5], [14, 8], [0, 16], [20, 5], [29, 11], [27, 16], [30, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[10, 14], [24, 4], [13, 11], [5, 35], [20, 22], [29, 17], [9, 26], [13, 21], [18, 5], [11, 31], [35, 26], [21, 34], [31, 12], [35, 31], [3, 19], [36, 9], [33, 15], [28, 4], [30, 34], [16, 18], [2, 1], [28, 28], [33, 10], [24, 33], [16, 26], [9, 6], [8, 22], [24, 25], [5, 25], [18, 32]]	[[26, 19], [0, 6], [14, 9], [0, 17], [19, 5], [30, 11], [28, 16], [30, 25]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[10, 15], [24, 5], [12, 11], [5, 34], [19, 22], [30, 17], [10, 26], [13, 20], [17, 5], [11, 30], [34, 26], [21, 33], [32, 12], [34, 31], [4, 19], [35, 9], [34, 15], [28, 5], [29, 34], [17, 18], [3, 1], [28, 29], [33, 9], [25, 33], [16, 27], [8, 6], [9, 22], [25, 25], [5, 26], [17, 32]]	[[27, 19], [0, 7], [14, 10], [0, 18], [18, 5], [31, 11], [29, 16], [30, 26]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[10, 16], [23, 5], [11, 11], [4, 34], [20, 22], [31, 17], [11, 26], [13, 19], [16, 5], [12, 30], [34, 25], [21, 34], [33, 12], [35, 31], [5, 19], [36, 9], [35, 15], [29, 5], [30, 34], [17, 17], [3, 2], [27, 29], [33, 8], [26, 33], [16, 26], [8, 7], [9, 23], [25, 24], [5, 27], [16, 32]]	[[28, 19], [0, 8], [13, 10], [0, 19], [17, 5], [32, 11], [30, 16], [30, 27]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[9, 16], [22, 5], [10, 11], [5, 34], [20, 23], [32, 17], [12, 26], [13, 20], [16, 4], [13, 30], [35, 25], [20, 34], [34, 12], [34, 31], [5, 18], [35, 9], [35, 16], [28, 5], [31, 34], [18, 17], [4, 2], [26, 29], [33, 7], [27, 33], [16, 25], [8, 6], [9, 22], [24, 24], [5, 28], [17, 32]]	[[29, 19], [0, 9], [12, 10], [0, 20], [16, 5], [33, 11], [31, 16], [31, 27]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[9, 15], [21, 5], [9, 11], [5, 33], [19, 23], [33, 17], [11, 26], [14, 20], [17, 4], [14, 30], [34, 25], [21, 34], [35, 12], [34, 32], [5, 17], [35, 8], [36, 16], [28, 6], [32, 34], [19, 17], [4, 3], [25, 29], [32, 7], [26, 33], [17, 25], [7, 6], [8, 22], [23, 24], [4, 28], [17, 33]]	[[29, 20], [0, 10], [11, 10], [0, 21], [16, 4], [34, 11], [32, 16], [32, 27]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[9, 16], [21, 4], [8, 11], [6, 33], [19, 22], [33, 18], [10, 26], [14, 19], [17, 5], [13, 30], [34, 24], [22, 34], [35, 13], [35, 32], [5, 18], [35, 7], [36, 17], [27, 6], [32, 35], [19, 16], [4, 4], [25, 28], [31, 7], [27, 33], [17, 26], [6, 6], [8, 23], [22, 24], [5, 28], [17, 34]]	[[29, 21], [0, 11], [10, 10], [0, 22], [17, 4], [35, 11], [33, 16], [33, 27]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[10, 16], [21, 5], [7, 11], [7, 33], [19, 21], [32, 18], [9, 26], [14, 20], [17, 6], [13, 31], [35, 24], [23, 34], [34, 13], [34, 32], [5, 19], [34, 7], [35, 17], [26, 6], [31, 35], [19, 17], [4, 5], [24, 28], [30, 7], [27, 32], [16, 26], [5, 6], [9, 23], [22, 23], [4, 28], [17, 35]]	[[30, 21], [0, 12], [9, 10], [0, 23], [17, 5], [34, 11], [34, 16], [33, 28]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	[[10, 17], [21, 4], [6, 11], [7, 34], [20, 21], [31, 18], [10, 26], [14, 21], [17, 7], [13, 30], [34, 24], [23, 35], [33, 13], [35, 32], [6, 19], [34, 6], [35, 18], [26, 7], [31, 34], [19, 16], [4, 4], [23, 28], [29, 7], [27, 31], [17, 26], [6, 6], [10, 23], [22, 24], [5, 28], [17, 34]]	[[31, 21], [0, 13], [8, 10], [0, 24], [17, 6], [34, 10], [34, 17], [34, 28]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10	[[11, 17], [21, 5], [5, 11], [6, 34], [21, 21], [31, 17], [11, 26], [14, 20], [17, 8], [12, 30], [35, 24], [23, 34], [32, 13], [34, 32], [5, 19], [34, 5], [36, 18], [26, 8], [31, 33], [19, 15], [4, 5], [24, 28], [29, 6], [27, 30], [17, 25], [6, 5], [10, 24], [22, 23], [6, 28], [16, 34]]	[[31, 20], [0, 14], [7, 10], [0, 25], [17, 7], [34, 11], [34, 18], [34, 29]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[10, 17], [21, 6], [4, 11], [6, 35], [21, 20], [31, 16], [12, 26], [15, 20], [17, 9], [13, 30], [34, 24], [23, 35], [31, 13], [35, 32], [5, 20], [34, 4], [36, 19], [26, 9], [30, 33], [19, 16], [4, 4], [23, 28], [29, 5], [28, 30], [18, 25], [7, 5], [10, 23], [21, 23], [7, 28], [16, 35]]	[[31, 19], [0, 15], [6, 10], [0, 26], [17, 8], [33, 11], [35, 18], [34, 30]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[9, 17], [21, 5], [4, 12], [6, 34], [22, 20], [31, 15], [13, 26], [15, 19], [17, 10], [14, 30], [34, 25], [23, 34], [30, 13], [35, 33], [4, 20], [34, 5], [36, 20], [27, 9], [29, 33], [18, 16], [4, 5], [23, 29], [28, 5], [28, 29], [18, 26], [8, 5], [11, 23], [22, 23], [6, 28], [16, 34]]	[[31, 18], [0, 16], [5, 10], [0, 27], [17, 9], [32, 11], [36, 18], [34, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	[[9, 16], [21, 4], [4, 13], [6, 35], [23, 20], [32, 15], [13, 27], [14, 19], [17, 11], [15, 30], [33, 25], [24, 34], [29, 13], [35, 34], [5, 20], [34, 6], [35, 20], [26, 9], [29, 34], [17, 16], [4, 4], [23, 30], [29, 5], [27, 29], [18, 25], [8, 4], [11, 22], [22, 24], [5, 28], [17, 34]]	[[31, 17], [0, 17], [5, 11], [0, 28], [17, 10], [32, 12], [36, 19], [34, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	[[9, 17], [21, 5], [4, 14], [6, 34], [24, 20], [33, 15], [13, 26], [15, 19], [17, 12], [15, 29], [32, 25], [25, 34], [28, 13], [35, 35], [6, 20], [35, 6], [35, 21], [26, 8], [28, 34], [18, 16], [4, 5], [23, 29], [29, 4], [27, 28], [17, 25], [9, 4], [10, 22], [23, 24], [5, 27], [17, 35]]	[[31, 16], [0, 18], [5, 12], [0, 29], [17, 11], [32, 13], [35, 19], [34, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	[[10, 17], [21, 6], [4, 15], [5, 34], [25, 20], [34, 15], [13, 25], [14, 19], [17, 13], [15, 30], [33, 25], [25, 35], [27, 13], [35, 36], [5, 20], [34, 6], [34, 21], [26, 7], [29, 34], [19, 16], [5, 5], [22, 29], [29, 5], [28, 28], [18, 25], [9, 5], [11, 22], [24, 24], [6, 27], [17, 34]]	[[32, 16], [0, 19], [5, 13], [0, 30], [17, 12], [32, 14], [35, 20], [34, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	[[10, 16], [22, 6], [4, 16], [6, 34], [25, 21], [35, 15], [12, 25], [15, 19], [17, 14], [15, 29], [33, 26], [25, 34], [27, 12], [35, 37], [6, 20], [35, 6], [33, 21], [27, 7], [29, 33], [20, 16], [4, 5], [21, 29], [30, 5], [27, 28], [18, 24], [10, 5], [12, 22], [24, 25], [7, 27], [18, 34]]	[[33, 16], [0, 20], [5, 14], [0, 31], [17, 13], [33, 14], [34, 20], [34, 35]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	[[10, 17], [21, 6], [4, 17], [5, 34], [25, 22], [36, 15], [11, 25], [16, 19], [16, 14], [14, 29], [32, 26], [25, 33], [28, 12], [35, 38], [6, 21], [34, 6], [32, 21], [27, 8], [29, 32], [21, 16], [5, 5], [21, 30], [30, 4], [26, 28], [19, 24], [9, 5], [13, 22], [24, 24], [7, 26], [19, 34]]	[[34, 16], [0, 21], [5, 15], [0, 32], [17, 14], [34, 14], [33, 20], [34, 36]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	[[11, 17], [21, 7], [4, 18], [6, 34], [25, 21], [37, 15], [10, 25], [17, 19], [16, 15], [13, 29], [33, 26], [25, 32], [29, 12], [34, 38], [6, 22], [35, 6], [31, 21], [26, 8], [29, 31], [21, 15], [4, 5], [21, 29], [30, 5], [26, 27], [19, 25], [10, 5], [13, 21], [23, 24], [8, 26], [19, 35]]	[[35, 16], [0, 22], [5, 16], [0, 33], [16, 14], [35, 14], [32, 20], [34, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	[[10, 17], [20, 7], [4, 19], [5, 34], [25, 20], [38, 15], [11, 25], [18, 19], [16, 16], [13, 30], [33, 25], [25, 31], [29, 13], [33, 38], [5, 22], [34, 6], [30, 21], [26, 7], [30, 31], [22, 15], [5, 5], [22, 29], [30, 6], [25, 27], [18, 25], [9, 5], [14, 21], [22, 24], [8, 27], [19, 34]]	[[36, 16], [0, 23], [5, 17], [0, 34], [16, 15], [36, 14], [31, 20], [34, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	[[10, 16], [20, 6], [3, 19], [6, 34], [25, 19], [38, 16], [12, 25], [19, 19], [15, 16], [14, 30], [33, 26], [26, 31], [28, 13], [33, 37], [5, 23], [35, 6], [29, 21], [25, 7], [29, 31], [21, 15], [4, 5], [21, 29], [30, 5], [26, 27], [17, 25], [10, 5], [14, 22], [22, 23], [8, 28], [18, 34]]	[[37, 16], [0, 24], [5, 18], [0, 35], [16, 16], [37, 14], [31, 21], [33, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	[[10, 15], [20, 7], [3, 20], [6, 33], [25, 18], [38, 17], [12, 26], [19, 20], [14, 16], [14, 29], [33, 25], [26, 32], [27, 13], [34, 37], [6, 23], [34, 6], [29, 22], [26, 7], [30, 31], [21, 14], [5, 5], [21, 30], [29, 5], [26, 26], [17, 24], [9, 5], [14, 21], [21, 23], [9, 28], [19, 34]]	[[38, 16], [0, 25], [4, 18], [0, 36], [15, 16], [36, 14], [31, 22], [33, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
