epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	epoch_time_s
0	24.176666666666872	0.0	0.0	2.0	-104.41249999999931	47.0	6.0	0.0	0.0	500.0	2.2964117527008057
1	24.96666666666689	0.0	0.0	0.0	-249.87500000000207	102.0	48.0	0.0	0.0	500.0	2.3629250526428223
2	24.976666666666883	0.0	0.0	0.0	-182.41250000000124	73.0	32.0	0.0	0.0	500.0	2.637747049331665
3	24.619195402299063	0.0	1.0	0.0	-335.57500000000107	154.0	54.0	1.0	0.03333333333333333	500.0	2.4035139083862305
4	24.976666666666883	0.0	0.0	0.0	-150.91249999999997	68.0	16.0	0.0	0.0	500.0	2.773275852203369
5	24.63632183908068	0.0	1.0	0.0	-445.1375000000029	186.0	95.0	1.0	0.03333333333333333	500.0	2.563079357147217
6	24.98333333333355	0.0	0.0	0.0	-203.4375000000016	107.0	12.0	0.0	0.0	500.0	2.5568509101867676
7	24.280771756978858	0.0	2.0	0.0	-70.34999999999964	18.0	14.0	2.0	0.06666666666666667	500.0	2.4657368659973145
8	24.933333333333547	0.0	0.0	0.0	-204.75000000000162	108.0	12.0	0.0	0.0	500.0	2.3118338584899902
9	24.98000000000022	0.0	0.0	0.0	-161.4250000000006	81.0	10.0	0.0	0.0	500.0	2.681999921798706
