epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
0	-477.16603997699286	555.0	16.0	367.0	0.5333333333333333	500.0	14473.181616170808	0.02108822243081245	2.7994163036346436
1	-199.91771456807143	73.0	15.0	299.0	0.5	500.0	1173.9824657369716	0.0020860549329745274	2.635009288787842
2	-122.2932289249628	102.0	20.0	86.0	0.6666666666666666	500.0	478.96218976429583	-0.010335707455705574	2.402791976928711
3	-72.5599198336073	56.0	18.0	76.0	0.6	500.0	301.7231672862489	-0.010413968096591154	2.457958221435547
4	-74.53207679907955	40.0	17.0	82.0	0.5666666666666667	500.0	327.4335434156616	-0.016391293998399923	2.4482481479644775
5	-79.41200999353639	7.0	25.0	150.0	0.8333333333333334	500.0	439.2522992358905	-0.00951183606497339	2.3671090602874756
6	-75.70825327646959	7.0	20.0	102.0	0.6666666666666666	500.0	338.4264508407862	-0.014382251861502783	2.3419189453125
7	-131.88057104046197	4.0	16.0	224.0	0.5333333333333333	500.0	627.0533729425854	-0.008666667351896133	2.589927911758423
8	-101.79057945908458	0.0	16.0	186.0	0.5333333333333333	500.0	377.04070579090495	-0.012358455371669621	2.6016290187835693
9	-65.98386735254913	0.0	26.0	134.0	0.8666666666666667	500.0	242.69582420383506	-0.00993410807269054	2.3439512252807617
10	-96.1616792942005	1.0	16.0	200.0	0.5333333333333333	500.0	267.82693740972314	-0.007128323507018701	2.653956890106201
11	-104.02644257068359	0.0	17.0	197.0	0.5666666666666667	500.0	411.1635644132929	-0.009748694642513435	2.6677186489105225
12	-87.73786389317083	1.0	19.0	158.0	0.6333333333333333	500.0	345.0109246920369	-0.008715548230241987	2.432912826538086
13	-96.55102500692907	1.0	20.0	175.0	0.6666666666666666	500.0	253.48250964488133	-0.0032483030083279526	2.526498794555664
14	-82.20761357492964	0.0	22.0	136.0	0.7333333333333333	500.0	221.73650048472882	-0.002749287608939264	2.409022808074951
15	-79.08928727302263	0.0	18.0	170.0	0.6	500.0	199.63329293638543	0.0004016377671079133	2.584897041320801
16	-107.58293825349081	0.0	15.0	255.0	0.5	500.0	278.4045582501855	-0.004146411434081297	2.8351995944976807
17	-89.36272674504396	0.0	16.0	184.0	0.5333333333333333	500.0	335.76097740619775	0.0005155041100702566	2.6513946056365967
18	-79.86251415202548	0.0	23.0	172.0	0.7666666666666667	500.0	415.40558789739805	-0.005193193349648198	2.450159788131714
19	-166.03747268787893	4.0	18.0	290.0	0.6	500.0	743.7801080121039	0.00764721572078567	2.6234257221221924
20	-116.8205811903027	0.0	14.0	247.0	0.4666666666666667	500.0	444.47354161237234	-0.006327783135378266	2.71679425239563
21	-112.54203858968775	1.0	16.0	231.0	0.5333333333333333	500.0	392.93437080782735	-0.006206052894405407	2.6029486656188965
22	-92.39480476005532	0.0	18.0	178.0	0.6	500.0	365.3877932842757	-0.00769394300389878	2.5527403354644775
23	-120.09552515116613	0.0	20.0	190.0	0.6666666666666666	500.0	408.6571727463954	-0.004290723480920168	2.423342227935791
24	-80.44851020533675	0.0	26.0	146.0	0.8666666666666667	500.0	232.2150530843415	-0.010055815589727667	2.43361759185791
25	-53.958415193973565	0.0	22.0	99.0	0.7333333333333333	500.0	166.45212371404634	-0.008208211261510515	2.3943889141082764
26	-86.67124130665306	0.0	20.0	170.0	0.6666666666666666	500.0	293.89586630139144	-0.0004079869610844283	2.584622859954834
27	-46.86243273185197	1.0	21.0	90.0	0.7	500.0	123.39891935848583	-0.007852071500127325	2.4558680057525635
28	-116.61523859671074	0.0	17.0	220.0	0.5666666666666667	500.0	502.9766306098914	-0.0008699365963271472	2.6186437606811523
29	-80.45487514074345	0.0	22.0	174.0	0.7333333333333333	500.0	209.66089173383415	-0.0009222927155256004	2.5825254917144775
30	-110.21484774002968	0.0	14.0	214.0	0.4666666666666667	500.0	294.4150595849513	-0.002619326962262405	2.6240010261535645
31	-107.42848851955675	0.0	16.0	219.0	0.5333333333333333	500.0	265.22277926904616	-0.00642268891680548	2.6301841735839844
32	-112.7437328960719	0.0	22.0	148.0	0.7333333333333333	500.0	456.21611923957636	-0.00300474453180592	2.3247153759002686
33	-59.242628367486	0.0	17.0	122.0	0.5666666666666667	500.0	343.04875177685346	0.0007420328846881401	2.509660482406616
34	-70.37065481594213	0.0	21.0	136.0	0.7	500.0	169.55483849259207	-0.007949282889167944	2.4460561275482178
35	-76.63654177913998	0.0	16.0	154.0	0.5333333333333333	500.0	168.26025786635503	-0.010490250482227861	2.554126739501953
36	-78.08403430115223	0.0	18.0	174.0	0.6	500.0	206.34499635019813	-0.008807093426964206	2.641756772994995
37	-48.9849505215552	1.0	24.0	96.0	0.8	500.0	189.8132150667724	-0.0062565617785541065	2.4126839637756348
38	-75.15327602429542	0.0	17.0	161.0	0.5666666666666667	500.0	324.9650342691226	-0.002797380354808137	2.56099796295166
39	-52.924487952248434	0.0	19.0	100.0	0.6333333333333333	500.0	113.0261662560299	-0.012241152866754352	2.4512360095977783
40	-71.35373698303599	2.0	16.0	157.0	0.5333333333333333	500.0	203.34722407851163	-0.009084313488236073	2.644773244857788
41	-82.98667245980788	1.0	18.0	158.0	0.6	500.0	244.790333798818	-0.004290965819370489	2.481346607208252
42	-43.51487912122491	0.0	25.0	64.0	0.8333333333333334	500.0	145.89075499203463	-0.01184384126974779	2.3656327724456787
43	-92.7293411487097	0.0	16.0	166.0	0.5333333333333333	500.0	239.64911949740645	-0.004406107925726129	2.4502198696136475
44	-52.32247829703241	0.0	19.0	116.0	0.6333333333333333	500.0	166.527739286795	-0.007718981092098511	2.4087514877319336
45	-76.65394353845964	0.0	21.0	134.0	0.7	500.0	203.96104585753412	-0.005450637763958383	2.429702043533325
46	-42.804748844250874	0.0	24.0	84.0	0.8	500.0	135.50309855690338	-0.00992891953817443	2.3952603340148926
47	-58.11628440274883	0.0	21.0	112.0	0.7	500.0	133.48250876148256	-0.010606042063597285	2.5406246185302734
48	-45.5601335677676	0.0	21.0	84.0	0.7	500.0	100.1720538506187	-0.009683798289260331	2.417658567428589
49	-68.11045252974033	1.0	15.0	156.0	0.5	500.0	199.02115321546705	-0.007034800289935615	2.759094715118408
50	-38.419870884464665	0.0	21.0	74.0	0.7	500.0	87.98403319381924	-0.012960577587713787	2.380394458770752
51	-27.421762671287745	0.0	18.0	72.0	0.6	500.0	93.7535877065448	-0.01310185468919288	2.508683919906616
52	-56.049758590962774	0.0	20.0	92.0	0.6666666666666666	500.0	191.95607436369036	-0.006961658963285815	2.3718714714050293
53	-62.770348560355565	0.0	20.0	134.0	0.6666666666666666	500.0	201.93501411027557	-0.006985989206342149	2.54608154296875
54	-41.614850335952156	0.0	19.0	74.0	0.6333333333333333	500.0	127.92991308234437	-0.0023595127041773655	2.389566421508789
55	-48.68652948332901	0.0	21.0	102.0	0.7	500.0	155.88846598146762	-0.008215406063313365	2.439542770385742
56	-49.87359238815386	0.0	21.0	86.0	0.7	500.0	110.16877369509841	-0.004695584724177653	2.3906874656677246
57	-18.810822611259564	0.0	19.0	52.0	0.6333333333333333	500.0	78.42723331673194	-0.012617246705797183	2.431229829788208
58	-54.72785643122485	0.0	17.0	120.0	0.5666666666666667	500.0	178.34106937488806	-0.009465077146885504	2.601179361343384
59	-40.84593270295848	0.0	19.0	104.0	0.6333333333333333	500.0	125.5920846452506	-0.011970644387271936	2.662943124771118
60	-97.60337902281435	0.0	16.0	171.0	0.5333333333333333	500.0	519.3986746931201	-0.004404585133796286	2.5593674182891846
61	-64.50087599448864	0.0	14.0	130.0	0.4666666666666667	500.0	222.91641070959452	-0.00972601718603241	2.5872578620910645
62	-65.82803309421658	2.0	12.0	176.0	0.4	500.0	238.70678939454848	-0.005042300539285745	2.9150359630584717
63	-27.83008064043289	1.0	16.0	72.0	0.5333333333333333	500.0	129.7822535700637	-0.011389577535060294	2.5263302326202393
64	-30.23722224820225	0.0	22.0	70.0	0.7333333333333333	500.0	105.1785543122163	-0.011237582210104622	2.398390293121338
65	-26.961789027644638	0.0	25.0	46.0	0.8333333333333334	500.0	78.6681538647947	-0.007527933905288536	2.3032641410827637
66	-14.124619962886655	0.0	21.0	42.0	0.7	500.0	68.02322581642903	-0.02020203013449105	2.4319589138031006
67	-38.72307022206054	0.0	18.0	80.0	0.6	500.0	193.18545235488125	-0.006294934702214606	2.5112881660461426
68	-28.122494054140084	1.0	24.0	62.0	0.8	500.0	94.48069145681254	-0.010526574625335879	2.349815845489502
69	-31.438583127113866	0.0	26.0	55.0	0.8666666666666667	500.0	83.94875843292476	-0.007790561406686226	2.2270419597625732
70	-33.252319002290385	0.0	22.0	68.0	0.7333333333333333	500.0	81.20903030404453	-0.010777662172577784	2.3961760997772217
71	-12.353218295162526	0.0	18.0	48.0	0.6	500.0	85.3751920384125	-0.0015011981825330523	2.490893840789795
72	-66.3300817196845	0.0	15.0	144.0	0.5	500.0	379.83375801310353	0.0003403933024853977	2.6379034519195557
73	-40.9839830442568	1.0	13.0	122.0	0.43333333333333335	500.0	131.2935692786531	-0.01667475020118805	2.7863197326660156
74	-23.910785698278872	1.0	18.0	64.0	0.6	500.0	81.44552160885986	-0.010435656306032699	2.5550661087036133
75	-22.930018720411105	0.0	16.0	64.0	0.5333333333333333	500.0	71.69065661501718	-0.013522783702522762	2.5768001079559326
76	-35.347333731974054	2.0	20.0	88.0	0.6666666666666666	500.0	80.3944271623305	-0.007844997836985912	2.55057954788208
77	-34.20033545536982	0.0	19.0	68.0	0.6333333333333333	500.0	73.20412159697227	-0.010807816066435038	2.437089681625366
78	-23.90105451011571	3.0	19.0	58.0	0.6333333333333333	500.0	90.39016799681171	-0.009921964649209669	2.4556989669799805
79	-11.741050233473631	2.0	20.0	40.0	0.6666666666666666	500.0	50.709707145737426	-0.014816745414705597	2.364161491394043
80	-19.53609477754381	1.0	18.0	44.0	0.6	500.0	59.816053704116136	-0.005850466294805925	2.380117654800415
81	-14.765545197463108	0.0	18.0	54.0	0.6	500.0	75.16286190179132	-0.01777668080498504	2.5063998699188232
82	-40.96525897079913	1.0	17.0	101.0	0.5666666666666667	500.0	168.94695960767706	-0.010953823459897217	2.6294026374816895
83	-28.603675868372726	1.0	17.0	78.0	0.5666666666666667	500.0	153.00583902942205	-0.008662965285716848	2.5217862129211426
84	-26.821821373359626	0.0	16.0	72.0	0.5333333333333333	500.0	112.62205660155175	-0.013954204522523857	2.578836441040039
85	-16.0152953493035	0.0	19.0	48.0	0.6333333333333333	500.0	84.79802250169864	-0.012204170457239897	2.4326281547546387
86	-9.55554032086417	0.0	15.0	54.0	0.5	500.0	59.59680356174267	-0.01690491162339742	2.7098569869995117
87	-32.546867990836525	0.0	16.0	76.0	0.5333333333333333	500.0	175.6174316186699	0.0020364551651438174	2.5134780406951904
88	-9.970952899520993	0.0	27.0	24.0	0.9	500.0	46.380962674843964	-0.0186284839639069	2.1330995559692383
89	-33.45043069787144	0.0	13.0	102.0	0.43333333333333335	500.0	103.64075864607709	-0.004518420438595264	2.7588086128234863
90	-23.358230424475536	1.0	17.0	54.0	0.5666666666666667	500.0	74.93944984652055	-0.00819499706205547	2.4860522747039795
91	-19.981627173221863	0.0	19.0	60.0	0.6333333333333333	500.0	82.29770911533339	-0.01868590681667199	2.494969367980957
92	-10.330799096442702	0.0	18.0	46.0	0.6	500.0	57.7933702753496	-0.019988368936699055	2.565535545349121
93	-26.617468417154818	1.0	24.0	42.0	0.8	500.0	83.60869393601249	-0.01040968271202636	2.3513023853302
94	-11.640001975891717	0.0	24.0	34.0	0.8	500.0	58.26458399343854	-0.020918184349684697	2.3956856727600098
95	-6.576301642231012	0.0	18.0	46.0	0.6	500.0	55.41656162105822	-0.013046177433499857	2.6165988445281982
96	-14.318858705641398	0.0	21.0	38.0	0.7	500.0	56.680911390894934	-0.009347848718567666	2.4359986782073975
97	-26.021969962682036	0.0	17.0	72.0	0.5666666666666667	500.0	72.27248167110011	-0.007759812399983014	2.5646004676818848
98	-11.439134636827484	0.0	23.0	38.0	0.7666666666666667	500.0	71.70740913681684	-0.002779279154900208	2.346925973892212
99	-23.84064221133128	0.0	20.0	62.0	0.6666666666666666	500.0	55.476582437590075	-0.00998171491438126	2.5377357006073
100	-18.874092703481395	0.0	19.0	60.0	0.6333333333333333	500.0	148.91970548009894	0.009192292721461616	2.465465784072876
101	-25.530547701260257	2.0	18.0	60.0	0.6	500.0	97.3427909291035	-0.017170552719412334	2.516552686691284
102	-2.791342260800082	0.0	17.0	36.0	0.5666666666666667	500.0	49.634217277380934	-0.023320323434377854	2.6158528327941895
103	-6.697723472866267	0.0	20.0	32.0	0.6666666666666666	500.0	50.7530807862681	-0.03614097435340255	2.4577994346618652
104	-13.809727832349733	1.0	22.0	40.0	0.7333333333333333	500.0	48.58519905129197	-0.022840962210965935	2.3854820728302
105	-7.812793228310028	0.0	15.0	48.0	0.5	500.0	47.25203863094724	-0.01725837153466052	2.6121397018432617
106	5.605930836820768	0.0	19.0	16.0	0.6333333333333333	500.0	36.14369578606975	-0.02187652069522573	2.430677890777588
107	6.495028894227802	0.0	18.0	18.0	0.6	500.0	33.816272211988355	-0.006668017328959592	2.4696595668792725
108	0.8544153323631463	0.0	21.0	18.0	0.7	500.0	31.017846919878853	-0.01966731947055698	2.375948190689087
109	-30.728528188924592	0.0	9.0	114.0	0.3	500.0	124.12884752044663	-0.013231875862794173	2.930363178253174
110	-8.042888910952621	0.0	21.0	42.0	0.7	500.0	55.29994051793993	-0.012852670593016004	2.5933029651641846
111	2.2144054737820413	0.0	22.0	14.0	0.7333333333333333	500.0	26.4617092232516	-0.011823639511287138	2.3562498092651367
112	-21.18245489781346	0.0	20.0	62.0	0.6666666666666666	500.0	131.5559265323471	-0.009272466849529025	2.5130834579467773
113	-8.77368220079274	0.0	18.0	40.0	0.6	500.0	33.631738371376	-0.022113087095786327	2.555666923522949
114	-4.242297990481043	0.0	16.0	36.0	0.5333333333333333	500.0	41.828591519137696	-0.009734984312496362	2.5688095092773438
115	-35.00625417555509	0.0	13.0	86.0	0.43333333333333335	500.0	230.48025071462013	0.013653883385638768	2.619333028793335
116	-11.093906341113398	0.0	15.0	44.0	0.5	500.0	39.76918654031338	-0.012190124389167159	2.5731804370880127
117	-13.811757522978159	0.0	22.0	40.0	0.7333333333333333	500.0	111.91648976245473	-0.0017117968993079706	2.3577933311462402
118	-11.257729796936498	0.0	14.0	54.0	0.4666666666666667	500.0	48.4689006802235	-0.011971279913059591	2.7007029056549072
119	-1.4244531863661232	0.0	20.0	32.0	0.6666666666666666	500.0	58.29164317722823	-0.021266823971798774	2.4458260536193848
120	8.551134949054246	0.0	20.0	10.0	0.6666666666666666	500.0	34.16623977226809	-0.0222532554366799	2.4267096519470215
121	-17.703878794674377	1.0	24.0	48.0	0.8	500.0	52.51627801906344	-0.011498096791830247	2.380023717880249
122	1.1061558533179165	0.0	17.0	30.0	0.5666666666666667	500.0	44.64013676676917	-0.017507903276024504	2.6165473461151123
123	-0.30647387533161846	0.0	24.0	18.0	0.8	500.0	29.307850047060672	-0.018230117138620536	2.43753981590271
124	-6.1054593513173625	0.0	13.0	52.0	0.43333333333333335	500.0	43.36544716940616	-0.018891128797504653	2.806525230407715
125	2.965494999642116	0.0	22.0	18.0	0.7333333333333333	500.0	30.331048316667523	-0.016712604166352597	2.4333505630493164
126	-12.777294660836843	0.0	20.0	36.0	0.6666666666666666	500.0	64.72331841011528	-0.006062387257137156	2.376447916030884
127	-8.46908219873202	0.0	21.0	42.0	0.7	500.0	88.8936050590325	-0.01186670587901958	2.4769723415374756
128	-4.895608428260229	0.0	24.0	18.0	0.8	500.0	29.05631993436826	-0.019865303457146422	2.2965877056121826
129	3.4234969477309916	0.0	18.0	24.0	0.6	500.0	34.6576504059677	-0.016635923872364258	2.48579740524292
130	8.046250146045903	0.0	15.0	18.0	0.5	500.0	41.50307841447587	-0.012305794728321287	2.531130790710449
131	-6.925401285731519	0.0	27.0	14.0	0.9	500.0	22.595459803683212	-0.021516243718724966	2.2990808486938477
132	2.1128080566589484	0.0	16.0	26.0	0.5333333333333333	500.0	33.085826978551054	-0.012878376463718132	2.604083776473999
133	-6.4926561107938	0.0	19.0	36.0	0.6333333333333333	500.0	38.855546640431506	-0.01501158705287647	2.506298065185547
134	5.801392272695736	0.0	21.0	16.0	0.7	500.0	37.977385839694975	-0.01160321568818005	2.4248692989349365
135	-6.598325444488921	0.0	18.0	40.0	0.6	500.0	40.584367901565926	-0.01995458227579608	2.670848846435547
136	-1.954191906280567	0.0	19.0	30.0	0.6333333333333333	500.0	24.84529184244376	-0.022282197408177776	2.5654852390289307
137	-2.372499023566893	0.0	22.0	26.0	0.7333333333333333	500.0	27.93673625001454	-0.021099358292077954	2.27166748046875
138	3.032062365017339	0.0	14.0	26.0	0.4666666666666667	500.0	38.04612420794537	-0.020902304185568977	2.591637372970581
139	0.6559731988590629	0.0	19.0	24.0	0.6333333333333333	500.0	24.037297292238843	-0.015164258497771378	2.4613513946533203
140	-35.55701086855789	0.0	14.0	94.0	0.4666666666666667	500.0	164.69457671680527	-0.0011001441891141683	2.7185866832733154
141	-12.383705665499154	0.0	14.0	50.0	0.4666666666666667	500.0	45.199388047116145	-0.011220940533030965	2.611074209213257
142	-2.040397274999977	0.0	9.0	44.0	0.3	500.0	65.4525055107634	-0.014354870113969742	2.793330192565918
143	10.14374832837348	0.0	19.0	8.0	0.6333333333333333	500.0	21.283275499093822	-0.0203487617883178	2.466207981109619
144	-1.3469856793107948	0.0	17.0	34.0	0.5666666666666667	500.0	52.825164035683464	-0.0165337332858218	2.570864200592041
145	6.023149570185713	0.0	15.0	18.0	0.5	500.0	30.31161450675314	-0.01604454725433483	2.539611577987671
146	-3.507249146629208	0.0	12.0	40.0	0.4	500.0	61.18645012665839	-0.001920262981829297	2.779378652572632
147	4.976595993277008	0.0	15.0	22.0	0.5	500.0	40.65379032832918	-0.014230053798356021	2.6078109741210938
148	-3.142713676553706	0.0	21.0	24.0	0.7	500.0	39.97779635838362	0.014372694459485748	2.4722585678100586
149	1.0251942520451003	0.0	15.0	26.0	0.5	500.0	54.973237759347185	-0.0020548313940533464	2.6819751262664795
150	1.5223801149080318	0.0	17.0	24.0	0.5666666666666667	500.0	42.15588704641969	-0.02405739867422113	2.551443338394165
151	9.9062700557041	0.0	16.0	14.0	0.5333333333333333	500.0	37.48275185429036	-0.04228006897135633	2.537374496459961
152	7.161261586199963	0.0	18.0	16.0	0.6	500.0	27.67932188273842	-0.026729060421386782	2.519334077835083
153	4.417895877358593	0.0	23.0	12.0	0.7666666666666667	500.0	34.90528238432706	-0.023690435626899282	2.41501784324646
154	2.5351215961597644	0.0	13.0	32.0	0.43333333333333335	500.0	48.17111921714457	-0.00969511317629083	2.7440297603607178
155	8.70140277012126	0.0	15.0	14.0	0.5	500.0	23.734514389823754	-0.0274107488722604	2.589749813079834
156	8.021373144634877	0.0	22.0	6.0	0.7333333333333333	500.0	19.56829402377455	-0.014090696599644131	2.4253883361816406
157	4.934134973403242	0.0	17.0	22.0	0.5666666666666667	500.0	23.35491335578973	-0.0014845011601189698	2.637223243713379
158	10.012628252788284	0.0	15.0	18.0	0.5	500.0	24.923067226945236	-0.01151291862581865	2.7119157314300537
159	7.616309950773505	0.0	17.0	14.0	0.5666666666666667	500.0	24.562157596698572	-0.006439830905852961	2.5139544010162354
160	9.297164501036054	0.0	11.0	22.0	0.36666666666666664	500.0	18.21023494075921	0.0001378153746248601	2.6939830780029297
161	8.550237056354945	0.0	21.0	8.0	0.7	500.0	17.278026548209215	-0.008573970015711403	2.469902992248535
162	11.922651780270993	0.0	16.0	12.0	0.5333333333333333	500.0	24.148050369402632	-0.009507355242021561	2.6285672187805176
163	10.609049806678623	0.0	15.0	14.0	0.5	500.0	21.14337918137877	-0.0012936173979020786	2.588294267654419
164	13.398553999616025	0.0	16.0	8.0	0.5333333333333333	500.0	27.595285045368566	0.002358292576237429	2.5855906009674072
165	15.354016949530028	0.0	16.0	4.0	0.5333333333333333	500.0	16.120627670379225	-0.0037905445403145304	2.6110947132110596
166	12.422407615451647	0.0	16.0	8.0	0.5333333333333333	500.0	18.671882037053756	-0.004685450925727569	2.598554849624634
167	4.822070935422475	0.0	9.0	32.0	0.3	500.0	41.66163349559116	0.0013468436775403712	2.7976596355438232
168	10.527475718322636	0.0	13.0	18.0	0.43333333333333335	500.0	22.19979499866069	-0.00527547598480758	2.8228964805603027
169	7.825635059473343	0.0	12.0	24.0	0.4	500.0	33.480195120489924	-0.0028088482080494397	2.7843830585479736
170	10.463251364038916	1.0	11.0	16.0	0.36666666666666664	500.0	19.362786978505422	0.00174170263840973	2.7217888832092285
171	13.560389090208758	0.0	13.0	12.0	0.43333333333333335	500.0	19.4819372157097	-0.0046532095999440365	2.73852801322937
