epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	epoch_time_s
0	23.330000000000005	0.0	0.0	0.0	-18.73750000000006	0.0	0.0	0.0	0.0	500.0	1.7721748352050781
1	23.85333333333347	0.0	0.0	0.0	-23.700000000000177	0.0	2.0	0.0	0.0	500.0	1.7676658630371094
2	23.24704433497546	0.0	2.0	0.0	-18.575000000000045	0.0	0.0	2.0	0.06666666666666667	500.0	1.7490780353546143
3	22.45725779967157	0.0	2.0	0.0	-15.674999999999958	0.0	0.0	2.0	0.06666666666666667	500.0	1.744511365890503
4	22.41114942528723	0.0	1.0	0.0	-15.462499999999988	0.0	0.0	1.0	0.03333333333333333	500.0	1.7597670555114746
5	23.54735632183922	0.0	1.0	0.0	-19.625000000000075	0.0	0.0	1.0	0.03333333333333333	500.0	1.7485148906707764
6	21.504725415070357	0.0	3.0	0.0	-12.687499999999943	0.0	0.0	3.0	0.1	500.0	1.6888227462768555
7	23.73998357963892	0.0	2.0	0.0	-20.362500000000182	0.0	0.0	2.0	0.06666666666666667	500.0	1.7478570938110352
8	22.583029556650178	0.0	2.0	0.0	-16.26250000000002	0.0	0.0	2.0	0.06666666666666667	500.0	1.7324087619781494
9	21.39532582487771	0.0	5.0	0.0	-12.475000000000039	0.0	0.0	5.0	0.16666666666666666	500.0	2.1752607822418213
