epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
0	-82.8685280510128	24.5	30.0	22.25	1.0	99.0	811.5418342562548	0.0076045727647237	2.2953221797943115
1	-98.44166482687811	21.25	30.0	20.0	1.0	107.75	398.5051183212141	-0.00205260478154227	1.8513906002044678
2	-60.094337495286965	9.75	30.0	9.5	1.0	99.75	344.1452376324335	-0.013954225337006982	1.8751952648162842
3	-55.812412974848804	5.8	30.0	14.0	1.0	81.8	145.35165799996307	-0.022089478177677525	1.9290685653686523
4	-82.40462136607789	7.5	30.0	22.0	1.0	122.0	329.47674175552453	-0.02980900472698675	1.9536223411560059
5	-59.845724903253576	2.4	30.0	12.8	1.0	83.8	140.80360140505348	-0.027926405055154327	1.954284429550171
6	-44.18832321041343	1.75	30.0	14.0	1.0	107.0	50.130524143776874	-0.027280323179614853	1.839287281036377
7	-50.158206428497024	1.6	30.0	16.4	1.0	96.8	200.45707425949553	-0.010588381119211837	1.9612388610839844
8	-44.4209630508231	1.0	30.0	14.666666666666666	1.0	82.16666666666667	45.66477417159211	-0.011608552994220214	1.9427368640899658
9	-45.9866091027785	0.2857142857142857	30.0	10.857142857142858	1.0	67.42857142857143	77.79674466154076	-0.0027149406982915516	1.9771394729614258
10	-51.104799997880626	0.3333333333333333	30.0	14.833333333333334	1.0	67.16666666666667	72.45570525767859	-0.007223570399812623	1.9690251350402832
11	-47.81714747938345	0.0	30.0	17.0	1.0	97.0	107.89294494771481	-0.0031431485285527746	1.8214144706726074
12	-46.930044562848735	0.3333333333333333	30.0	12.5	1.0	81.66666666666667	84.8799698395194	-0.0024985524960497814	1.9261116981506348
13	-42.438651374575414	0.0	30.0	7.5	1.0	86.0	56.02749659807177	0.005809299178812481	1.79490327835083
14	-53.50155905188548	0.2	30.0	20.2	1.0	89.4	323.73851006528093	0.007270378011212632	1.8844249248504639
15	-45.621409798389614	0.0	30.0	10.666666666666666	1.0	76.5	90.98511391419225	0.0011490279627496235	1.9413745403289795
16	-47.40269653421978	0.2	30.0	9.6	1.0	82.8	120.0732366167916	-0.012757173468682813	1.867521047592163
17	-53.772543809170976	0.0	30.0	20.833333333333332	1.0	76.16666666666667	235.94466929742808	0.0063640937496430225	1.9992725849151611
18	-47.36368891675102	0.0	30.0	13.0	1.0	95.5	82.91695782385526	-0.004911946338781552	1.793245792388916
19	-44.83660833078382	0.0	30.0	11.2	1.0	95.8	46.68036104420018	-0.01179880479923915	1.8632829189300537
20	-51.34312506690125	0.16666666666666666	30.0	14.333333333333334	1.0	81.83333333333333	125.67658727782177	-0.009251426695687999	1.8840391635894775
21	-54.67634785805244	0.5	30.0	17.0	1.0	103.75	88.8887824130301	-0.0044781284023423405	1.8457081317901611
22	-42.816208815416324	0.3333333333333333	30.0	8.5	1.0	74.5	40.56149112969461	-0.0038686498340363	1.9259052276611328
23	-48.320172935133684	0.3333333333333333	30.0	14.333333333333334	1.0	76.83333333333333	73.42562888785604	-0.0070271391995118575	1.9094090461730957
24	-55.61946670660151	0.0	30.0	14.857142857142858	1.0	70.28571428571429	109.6780168237094	-0.0022278890168918306	2.0024776458740234
25	-55.231479524156114	0.2	30.0	19.4	1.0	91.0	88.01556377844527	0.0029973144022417135	1.9224207401275635
26	-44.66158940346155	0.0	30.0	9.2	1.0	92.4	52.665478048678835	-0.007864076766064002	1.8517189025878906
27	-52.349122902263275	0.2	30.0	23.2	1.0	98.8	91.38462768825946	-0.010384911408545947	1.9285719394683838
28	-49.2707910929048	0.2	30.0	17.6	1.0	97.2	55.113647580767804	-0.00447300017671375	1.9397308826446533
29	-39.336487115323436	0.2	30.0	6.8	1.0	91.6	38.033648246562244	-0.0006070722265500673	1.8410634994506836
30	-43.95706491047857	0.0	30.0	12.0	1.0	98.4	69.63430183626713	-0.013215025551790568	1.867950677871704
31	-49.44472341511262	0.0	30.0	12.6	1.0	78.8	72.8902412065249	-0.006573073636468566	1.8792955875396729
32	-48.406728455366796	0.0	30.0	10.666666666666666	1.0	75.16666666666667	58.92629204004483	-0.005740977459729377	1.9196066856384277
33	-42.98265384670642	0.2	30.0	8.4	1.0	95.4	30.455084829306006	-0.006006668257010395	1.8606576919555664
34	-58.27827254530949	0.2857142857142857	30.0	18.428571428571427	1.0	66.14285714285714	203.6930652242771	0.01571420957883532	2.008652925491333
35	-36.43119149782633	0.0	30.0	2.5	1.0	113.5	28.252529352398987	-0.032491311081639274	1.7938532829284668
36	-49.159118569157904	0.3333333333333333	30.0	13.666666666666666	1.0	82.16666666666667	86.56507525805723	-0.013216503028461009	1.9316449165344238
37	-43.710611434699636	0.16666666666666666	30.0	9.666666666666666	1.0	82.83333333333333	48.155907427031124	-0.020013006289027004	1.9072434902191162
