epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	epoch_time_s
0	-72.00697137306604	9.0	30.0	2.0	35.5125	0.0	0.0	30.0	1.0	55.0	0.18325018882751465
1	-77.21741233668882	14.0	30.0	22.0	32.97499999999992	0.0	0.0	30.0	1.0	107.0	0.2965209484100342
2	-58.8018107013535	5.0	30.0	20.0	33.16250000000009	0.0	0.0	30.0	1.0	102.0	0.27219319343566895
3	-47.2729330119367	12.0	30.0	4.0	34.91250000000005	0.0	0.0	31.0	1.0	87.0	0.25246310234069824
4	-102.98089704447638	19.0	30.0	24.0	27.462499999999878	0.0	0.0	29.0	1.0	187.0	0.46827197074890137
5	-53.34493330834117	11.0	30.0	10.0	32.24999999999992	0.0	0.0	30.0	1.0	121.0	0.3151218891143799
6	-137.62961334753408	19.0	30.0	4.0	33.53750000000003	0.0	0.0	30.0	1.0	97.0	0.2655799388885498
7	-254.4998532569	101.0	30.0	62.0	28.64999999999987	0.0	0.0	30.0	1.0	196.0	0.5593860149383545
8	-48.42499810568127	5.0	30.0	18.0	33.30000000000007	0.0	0.0	30.0	1.0	97.0	0.2811720371246338
9	-73.90196502851595	22.0	30.0	22.0	32.19999999999993	0.0	0.0	30.0	1.0	123.0	0.3576068878173828
