epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	epoch_time_s
0	-5.089776098237709	0.0	29.0	0.0	11.612499999999798	0.0	0.0	29.0	0.9666666666666667	500.0	0.9778709411621094
1	-35.64444762947822	0.0	30.0	0.0	33.67499999999995	0.0	0.0	30.0	1.0	84.0	0.2223508358001709
2	-35.41069507520138	0.0	30.0	0.0	33.287499999999945	0.0	0.0	30.0	1.0	92.0	0.20727014541625977
3	-35.92654953908324	0.0	30.0	0.0	33.67500000000003	0.0	0.0	30.0	1.0	85.0	0.19339203834533691
4	-5.0971529365608985	0.0	29.0	0.0	11.72499999999976	0.0	0.0	29.0	0.9666666666666667	500.0	0.7825021743774414
5	-33.923955140719784	0.0	30.0	0.0	31.724999999999913	0.0	0.0	30.0	1.0	123.0	0.26188111305236816
6	-34.98495182923194	0.0	30.0	0.0	32.812500000000135	0.0	0.0	30.0	1.0	102.0	0.19244790077209473
7	-4.786636288577662	0.0	29.0	0.0	11.649999999999796	0.0	0.0	29.0	0.9666666666666667	500.0	0.8062660694122314
8	-20.509536004937363	0.0	30.0	0.0	16.2749999999997	0.0	0.0	30.0	1.0	438.0	0.7337949275970459
9	-28.66176596704746	0.0	30.0	0.0	26.79999999999986	0.0	0.0	30.0	1.0	222.0	0.40506792068481445
