epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
0	-287.8375000000027	171.0	12.0	9.0	0.3	500.0	4368.9742479993365	0.021914728223678646	1.7706637382507324
1	-235.01250000000027	128.0	26.0	16.0	0.5333333333333333	500.0	4064.8682657184136	0.01336112470384106	1.5932669639587402
2	-80.71249999999952	33.0	20.0	18.0	0.6	500.0	345.5792574934091	-0.009148478810368222	1.5474903583526611
3	-88.26249999999936	29.0	22.0	10.0	0.3333333333333333	500.0	330.83783866863934	-0.011734285518699289	1.6842052936553955
4	-32.26250000000019	13.0	4.0	14.0	0.4666666666666667	500.0	205.32745929909044	-0.024464905499521707	1.5729591846466064
5	-31.375000000000203	3.0	16.0	17.0	0.5666666666666667	500.0	132.15166006146842	-0.019508205494041014	1.517091989517212
6	-63.7999999999996	24.0	14.0	14.0	0.4666666666666667	500.0	247.97256757572313	-0.018571362556560594	1.6223869323730469
7	-62.649999999999714	1.0	40.0	18.0	0.6	500.0	199.48900141837245	-0.014081054588212271	1.5025670528411865
8	-128.8874999999989	12.0	67.0	11.0	0.36666666666666664	500.0	343.4386110069951	-0.0033171388427665534	1.6342782974243164
9	-105.66249999999924	1.0	66.0	15.0	0.5	500.0	822.9316339226832	-0.00869033705135697	1.6382725238800049
10	-4.599999999999975	1.0	2.0	19.0	0.6333333333333333	500.0	137.24662983588001	-0.02405490629985995	1.4899852275848389
11	-45.59999999999996	0.0	26.0	14.0	0.4666666666666667	500.0	113.68584898874234	-0.020594830374325933	1.5566844940185547
12	-52.60000000000002	0.0	28.0	11.0	0.36666666666666664	500.0	163.68163780737774	-0.019874266658380685	1.6652874946594238
13	-57.174999999999976	0.0	32.0	12.0	0.4	500.0	198.79839315108157	-0.00922485449502819	1.6048486232757568
14	-41.14999999999999	0.0	24.0	15.0	0.5	500.0	131.1414393245777	-0.010923637072551465	1.5845906734466553
15	-54.1374999999998	0.0	28.0	10.0	0.3333333333333333	500.0	124.26676535112044	-0.006421798833383836	1.6659343242645264
16	-18.98750000000014	0.0	10.0	16.0	0.5333333333333333	500.0	90.5324911683855	-0.014936736809220627	1.5478253364562988
17	-27.250000000000174	0.0	12.0	12.0	0.4	500.0	56.95935376803408	-0.017193229913291013	1.6315689086914062
18	-69.97499999999941	0.0	38.0	9.0	0.3	500.0	198.47724711166566	-0.004514195679073225	1.6968610286712646
19	-26.087500000000095	0.0	18.0	20.0	0.6666666666666666	500.0	97.00952868173806	-0.012299170940721695	1.4962189197540283
20	-19.262500000000202	0.0	12.0	18.0	0.6	500.0	108.11521462696103	-0.01889803914313242	1.5535657405853271
21	-54.287499999999966	1.0	28.0	11.0	0.36666666666666664	500.0	113.73967154132244	-0.004614053679788071	1.6051466464996338
22	-59.72499999999975	0.0	32.0	10.0	0.3333333333333333	500.0	162.31134769288673	-0.004472279942118498	1.6305475234985352
23	-36.075000000000074	1.0	16.0	11.0	0.36666666666666664	500.0	59.05129833748095	-0.013372035538238375	1.6388509273529053
24	-79.19999999999877	0.0	44.0	9.0	0.3	500.0	184.86624721777534	-0.002691297640792584	1.678358554840088
25	-62.387499999999214	0.0	38.0	15.0	0.5	500.0	160.25078794332302	0.0036665989184206894	1.6253764629364014
26	-58.48749999999954	0.0	32.0	11.0	0.36666666666666664	500.0	104.52264921095441	-0.005005537924896558	1.6635596752166748
27	-41.37500000000006	0.0	24.0	15.0	0.5	500.0	92.66592727280248	-0.013688499852471172	1.5078940391540527
