epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
0	-521.4300000000004	464.0	362.0	3.0	0.0	500.0	17625.831598024233	0.021550617084637482	2.4075257778167725
1	-260.71500000000117	128.0	258.0	8.0	0.0	500.0	2194.9332630093722	-0.0006722162345837675	2.4882335662841797
2	-238.50000000000054	136.0	215.0	6.0	0.0	500.0	2171.1768913894407	-0.0015481986396432383	2.2752842903137207
3	-175.9700000000002	64.0	183.0	6.0	0.0	500.0	865.9828306118657	-0.013029235584027965	2.2824552059173584
4	-137.89999999999986	12.0	169.0	8.0	0.0	500.0	535.0174972671541	-0.012237170505637707	2.2690980434417725
5	-98.0049999999995	17.0	98.0	8.0	0.0	500.0	324.364747934382	-0.01724990268018803	2.38026762008667
6	-142.5499999999998	5.0	190.0	2.0	0.0	500.0	533.8020271408469	-0.01611452201164551	2.282860279083252
7	-139.02500000000003	2.0	184.0	5.0	0.0	500.0	532.2728572688251	-0.01475757611424474	2.2555267810821533
8	-138.63999999999996	1.0	186.0	3.0	0.0	500.0	334.0442236600114	-0.01678475601430461	2.2692549228668213
9	-163.200000000001	2.0	225.0	4.0	0.0	500.0	373.16390577484617	-0.009862712061576802	2.2985522747039795
10	-128.9449999999995	1.0	170.0	3.0	0.0	500.0	304.97438808166424	-0.015369948856819424	2.315014123916626
11	-127.73999999999945	2.0	168.0	2.0	0.0	500.0	304.3185702224939	-0.010611310448932461	2.27185320854187
12	-151.3850000000004	0.0	202.0	10.0	0.0	500.0	422.2974441054767	-0.008918207065483756	2.2708678245544434
13	-123.78999999999925	1.0	162.0	2.0	0.0	500.0	210.47661013699636	-0.008049343204178138	2.276376724243164
14	-170.76000000000033	0.0	239.0	5.0	0.0	500.0	529.4261392297154	0.0022390815232513988	2.275399684906006
15	-122.02499999999955	0.0	154.0	9.0	0.0	500.0	255.89611474189982	-0.0013937411839119109	2.278125762939453
16	-149.17999999999978	3.0	200.0	5.0	0.0	500.0	347.93763814750406	8.229786165395723e-05	2.462817430496216
17	-116.47999999999927	4.0	146.0	3.0	0.0	500.0	278.9813906548254	-0.014159403997695023	2.276296377182007
18	-119.76499999999949	0.0	154.0	5.0	0.0	500.0	211.1641487772691	-0.012490298789828245	2.267942428588867
19	-156.95000000000044	1.0	218.0	2.0	0.0	500.0	391.94243236892055	-0.006118023794385282	2.271475076675415
20	-124.1449999999993	0.0	164.0	2.0	0.0	500.0	232.15296678522918	-0.005720919497685339	2.2737486362457275
21	-116.99499999999948	0.0	154.0	0.0	0.0	500.0	218.14143525894536	-0.007932382167050866	2.2672371864318848
22	-123.84999999999964	0.0	160.0	6.0	0.0	500.0	276.9794897974247	-0.008919681361418453	2.337979793548584
23	-160.67500000000013	0.0	224.0	3.0	0.0	500.0	437.9397400313288	-0.004745406670843642	2.4572532176971436
